n_nodes,algorithm,algorithm_label,seed,n_rounds_cap,FND,HND,LND,total_packets,total_packet_loss,packet_loss_ratio,avg_energy_consumed_per_round,elapsed_seconds,lnd_reached_cap,source
80,pso,MOPSO,5,2500,309,1066,1649,82572,1207,0.014406951622721684,0.02425712553062462,1533.053422600031,False,original_results
80,pso,MOPSO,6,2500,160,1082,1664,83046,1233,0.014629978998326985,0.02403846153846154,1629.2134139998816,False,original_results
80,pso,MOPSO,7,2500,432,1106,1547,82780,1305,0.015520009514182078,0.025856496444731737,1557.0036768000573,False,original_results
80,pso,MOPSO,8,2500,450,1053,1562,81767,1286,0.015484088473625276,0.02560819462227913,1631.9227821000386,False,original_results
80,pso,MOPSO,9,2500,316,1059,1625,82948,1200,0.014260588486951562,0.024615384615384615,1684.846070899861,False,original_results
80,pso,MOPSO,10,2500,368,1085,1672,83222,1255,0.01485611468210282,0.023923444976076555,1732.2375014000572,False,original_results
100,nsga,NSGA-II,1,3000,361,1065,1629,105036,1766,0.016535270875077245,0.030693677102516883,1094.5824776000227,False,new_campaign
100,nsga,NSGA-II,2,3000,272,1077,1688,103969,1819,0.017194766892275115,0.02962085308056872,1164.4977481999667,False,new_campaign
100,nsga,NSGA-II,3,3000,419,1061,1649,105714,1918,0.017819979188345474,0.030321406913280776,1135.3695866999915,False,new_campaign
100,nsga,NSGA-II,4,3000,377,1068,1849,104763,1817,0.017048226684180896,0.02704164413196322,1113.6685361999553,False,new_campaign
100,nsga,NSGA-II,5,3000,347,1107,1727,104390,1947,0.018309713458156615,0.02895193977996526,1078.2163518999587,False,new_campaign
100,nsga,NSGA-II,6,3000,443,1076,1709,105124,1766,0.016521657779025166,0.029256875365710942,1031.3558126999997,False,new_campaign
100,nsga,NSGA-II,7,3000,447,1064,1631,104694,1886,0.017695627697504223,0.030656039239730228,1013.5154543999815,False,new_campaign
100,nsga,NSGA-II,8,3000,341,1067,1746,103101,1694,0.016164893363232978,0.0286368843069874,1016.3048498000135,False,new_campaign
100,nsga,NSGA-II,9,3000,413,1083,1666,105634,1744,0.016241688241539234,0.030012004801920768,1060.6080138000543,False,new_campaign
100,nsga,NSGA-II,10,3000,353,1086,1641,104922,1772,0.01660824413743978,0.030469226081657527,1151.0012134999852,False,new_campaign
100,omf,OMF,1,3000,494,1058,1621,105599,1673,0.01559586844656574,0.030845157310302282,1065.4751949000056,False,new_campaign
100,omf,OMF,2,3000,352,1104,1647,104917,1755,0.016452302384880754,0.030358227079538558,1584.9399512000382,False,new_campaign
100,omf,OMF,3,3000,406,1072,1645,106506,1769,0.016338028169014085,0.030395136778115502,1366.3400075000245,False,new_campaign
100,omf,OMF,4,3000,458,1095,1740,105737,1565,0.014585003075431958,0.028735632183908046,1705.6297691999935,False,new_campaign
100,omf,OMF,5,3000,423,1080,1689,105146,1778,0.01662863342186974,0.02960331557134399,1645.434781399963,False,new_campaign
100,omf,OMF,6,3000,546,1082,1744,105861,1572,0.014632375527072687,0.028669724770642203,1698.2239423000137,False,new_campaign
100,omf,OMF,7,3000,566,1049,1633,105415,1837,0.01712788572707269,0.03061849357011635,1454.5402714000084,False,new_campaign
100,omf,OMF,8,3000,387,1071,1551,103894,1739,0.01646265844953755,0.032237266279819474,1121.0936345000518,False,new_campaign
100,omf,OMF,9,3000,467,1081,1693,106149,1691,0.015680637982195846,0.029533372711163616,1449.5481720999815,False,new_campaign
100,omf,OMF,10,3000,358,1120,1732,105769,1792,0.016660313682468553,0.028868360277136258,1654.0486145999748,False,new_campaign
100,pso,MOPSO,1,3000,251,1090,1571,105278,1884,0.017580858886545606,0.031826861871419476,1503.9603556999937,False,new_campaign
100,pso,MOPSO,2,3000,270,1064,1485,104353,1716,0.016178148186557807,0.03367003367003367,1481.7596007999964,False,new_campaign
100,pso,MOPSO,3,3000,226,1094,1662,105921,1894,0.01756712887817094,0.030084235860409144,1550.147623100027,False,new_campaign
100,pso,MOPSO,4,3000,469,1083,1818,105028,1772,0.016591760299625467,0.027502750275027504,1531.6087377999793,False,new_campaign
100,pso,MOPSO,5,3000,215,1107,1709,104716,1894,0.01776568802176156,0.029256875365710942,1430.8229460000293,False,new_campaign
100,pso,MOPSO,6,3000,221,1106,1685,105580,1622,0.015130314732934087,0.029673590504451043,1461.3206498000072,False,new_campaign
100,pso,MOPSO,7,3000,338,1087,1685,104921,1778,0.01666369881629631,0.02967359050445104,1606.7038775000256,False,new_campaign
100,pso,MOPSO,8,3000,438,1081,1546,103339,1908,0.01812878276815491,0.03234152652005175,1602.9623511999962,False,new_campaign
100,pso,MOPSO,9,3000,358,1097,1651,105612,1692,0.01576828450011183,0.03028467595396729,1793.2439868999645,False,new_campaign
100,pso,MOPSO,10,3000,335,1115,1575,105205,1797,0.016794078615352984,0.031746031746031744,1671.7857218999998,False,new_campaign
150,nsga,NSGA-II,1,3000,429,1115,1686,160735,3202,0.019531893349274417,0.04448398576512456,1528.921930600016,False,new_campaign
150,nsga,NSGA-II,2,3000,347,1116,1815,159717,3291,0.020189193168433452,0.04132231404958678,1537.9052011999884,False,new_campaign
150,nsga,NSGA-II,3,3000,446,1126,1710,162099,3046,0.01844439734778528,0.043859649122807015,1538.0306303999969,False,new_campaign
150,nsga,NSGA-II,4,3000,337,1108,1570,161856,3058,0.018542998168742497,0.04777070063694268,1593.0416854000068,False,new_campaign
150,nsga,NSGA-II,5,3000,417,1102,1709,160518,3006,0.018382622734277536,0.04388531304856641,1665.5003836000105,False,new_campaign
150,nsga,NSGA-II,6,3000,536,1100,1715,160947,3199,0.019488747822060847,0.043731778425655975,1862.2000466999598,False,new_campaign
150,nsga,NSGA-II,7,3000,494,1119,1597,161392,3091,0.01879221560890791,0.046963055729492796,1766.8933515999815,False,new_campaign
150,nsga,NSGA-II,8,3000,532,1106,1747,160550,3344,0.020403431486204496,0.04293073840870063,1789.5109500999679,False,new_campaign
150,nsga,NSGA-II,9,3000,463,1103,1701,161249,3051,0.018569689592209372,0.04409171075837742,1670.1294065999682,False,new_campaign
150,nsga,NSGA-II,10,3000,511,1127,1634,161150,3044,0.01853904527571044,0.04589963280293757,1679.5560615999857,False,new_campaign
