algorithm,n_alive,rep,seconds,evaluations
OMF,80,0,0.3881839000387117,610
NSGA-II,80,0,0.43268090003402904,600
MOPSO,80,0,0.49501069996040314,630
OMF,60,0,0.36654899996938184,610
NSGA-II,60,0,0.3626953000202775,600
MOPSO,60,0,0.4404095000354573,630
OMF,40,0,0.23994080000557005,610
NSGA-II,40,0,0.26076149998698384,600
MOPSO,40,0,0.31712449999758974,630
OMF,20,0,0.1442242000484839,610
NSGA-II,20,0,0.1805560000357218,600
MOPSO,20,0,0.3232888000202365,630
OMF,80,1,0.4198960000067018,610
NSGA-II,80,1,0.4643766999943182,600
MOPSO,80,1,0.5120776999974623,630
OMF,60,1,0.3152059999993071,610
NSGA-II,60,1,0.3538340000086464,600
MOPSO,60,1,0.4002963000093587,630
OMF,40,1,0.22150829999009147,610
NSGA-II,40,1,0.25145989999873564,600
MOPSO,40,1,0.31088419997831807,630
OMF,20,1,0.147176300000865,610
NSGA-II,20,1,0.17170249996706843,600
MOPSO,20,1,0.31074560002889484,630
OMF,80,2,0.4122077999636531,610
NSGA-II,80,2,0.4366059000021778,600
MOPSO,80,2,0.5105785000487231,630
OMF,60,2,0.3084857000503689,610
NSGA-II,60,2,0.3720463999779895,600
MOPSO,60,2,0.3862169999629259,630
OMF,40,2,0.2772433999925852,610
NSGA-II,40,2,0.27361689996905625,600
MOPSO,40,2,0.3146897000260651,630
OMF,20,2,0.15216640004655346,610
NSGA-II,20,2,0.18053409998537973,600
MOPSO,20,2,0.32519020000472665,630
OMF,80,3,0.4293574000475928,610
NSGA-II,80,3,0.44285360001958907,600
MOPSO,80,3,0.5186431999900378,630
OMF,60,3,0.31846839998615906,610
NSGA-II,60,3,0.35404320002999157,600
MOPSO,60,3,0.4203026000177488,630
OMF,40,3,0.2252654999610968,610
NSGA-II,40,3,0.2686789999715984,600
MOPSO,40,3,0.319086299976334,630
OMF,20,3,0.15094860002864152,610
NSGA-II,20,3,0.1879416000447236,600
MOPSO,20,3,0.3057865999871865,630
OMF,80,4,0.46719699999084696,610
NSGA-II,80,4,0.4954783000284806,600
MOPSO,80,4,0.5066678000148386,630
OMF,60,4,0.32070799998473376,610
NSGA-II,60,4,0.35717019997537136,600
MOPSO,60,4,0.4048913000151515,630
OMF,40,4,0.23813740001060069,610
NSGA-II,40,4,0.2779928999952972,600
MOPSO,40,4,0.3278979000169784,630
OMF,20,4,0.1584908000077121,610
NSGA-II,20,4,0.18974830000661314,600
MOPSO,20,4,0.32919920003041625,630
OMF,80,5,0.4199244999908842,610
NSGA-II,80,5,0.45299710001563653,600
MOPSO,80,5,0.5173007000121288,630
OMF,60,5,0.3089046999812126,610
NSGA-II,60,5,0.3508835000102408,600
MOPSO,60,5,0.38157679996220395,630
OMF,40,5,0.2241121999686584,610
NSGA-II,40,5,0.262683900014963,600
MOPSO,40,5,0.320001800020691,630
OMF,20,5,0.14274939999449998,610
NSGA-II,20,5,0.18670839996775612,600
MOPSO,20,5,0.33278970001265407,630
OMF,80,6,0.42798819998279214,610
NSGA-II,80,6,0.452773500001058,600
MOPSO,80,6,0.5583102999953553,630
OMF,60,6,0.3171584000228904,610
NSGA-II,60,6,0.3473855999764055,600
MOPSO,60,6,0.411121400014963,630
OMF,40,6,0.22747059998800978,610
NSGA-II,40,6,0.26296790002379566,600
MOPSO,40,6,0.33508839999558404,630
OMF,20,6,0.16167030000360683,610
NSGA-II,20,6,0.1771256999927573,600
MOPSO,20,6,0.33045080001465976,630
OMF,80,7,0.4171900000073947,610
NSGA-II,80,7,0.46347590000368655,600
MOPSO,80,7,0.49857980001252145,630
OMF,60,7,0.3148370999842882,610
NSGA-II,60,7,0.3556553000234999,600
MOPSO,60,7,0.4107196999830194,630
OMF,40,7,0.2265495000174269,610
NSGA-II,40,7,0.26730980002321303,600
MOPSO,40,7,0.32425429997965693,630
OMF,20,7,0.1564974000211805,610
NSGA-II,20,7,0.1916588000021875,600
MOPSO,20,7,0.34125800000038,630
OMF,80,8,0.4403061000048183,610
NSGA-II,80,8,0.478076700004749,600
MOPSO,80,8,0.5488912999862805,630
OMF,60,8,0.3284970000386238,610
NSGA-II,60,8,0.3533239999669604,600
MOPSO,60,8,0.3932218999834731,630
OMF,40,8,0.21737049997318536,610
NSGA-II,40,8,0.27691040001809597,600
MOPSO,40,8,0.32970819994807243,630
OMF,20,8,0.15095470001688227,610
NSGA-II,20,8,0.19120250002015382,600
MOPSO,20,8,0.3597664999542758,630
OMF,80,9,0.4432008999865502,610
NSGA-II,80,9,0.4740264000138268,600
MOPSO,80,9,0.5266931999940425,630
OMF,60,9,0.3113115999731235,610
NSGA-II,60,9,0.35404509998625144,600
MOPSO,60,9,0.3909436999820173,630
OMF,40,9,0.2256187000311911,610
NSGA-II,40,9,0.26492660003714263,600
MOPSO,40,9,0.33145060000242665,630
OMF,20,9,0.158477499964647,610
NSGA-II,20,9,0.190266799996607,600
MOPSO,20,9,0.34177540004020557,630
