algorithm,n_alive,rep,seconds,evaluations
OMF,100,0,0.5958174999686889,610
NSGA-II,100,0,0.6257946999976411,600
MOPSO,100,0,0.7143434999743477,630
OMF,80,0,0.5760198999778368,610
NSGA-II,80,0,0.561431200010702,600
MOPSO,80,0,0.6347023000125773,630
OMF,60,0,0.3437980000162497,610
NSGA-II,60,0,0.39992079994408414,600
MOPSO,60,0,0.5005284000071697,630
OMF,40,0,0.2554991999641061,610
NSGA-II,40,0,0.3039145999937318,600
MOPSO,40,0,0.3847362999804318,630
OMF,20,0,0.20545540004968643,610
NSGA-II,20,0,0.24820269999327138,600
MOPSO,20,0,0.41586850001476705,630
OMF,100,1,0.5965927000506781,610
NSGA-II,100,1,0.6474653999903239,600
MOPSO,100,1,0.7483796000014991,630
OMF,80,1,0.5382840000092983,610
NSGA-II,80,1,0.5686030999640934,600
MOPSO,80,1,0.5989737999625504,630
OMF,60,1,0.3519333000294864,610
NSGA-II,60,1,0.41766609996557236,600
MOPSO,60,1,0.47139489999972284,630
OMF,40,1,0.2517644999898039,610
NSGA-II,40,1,0.2877576000173576,600
MOPSO,40,1,0.369043699989561,630
OMF,20,1,0.18081280001206324,610
NSGA-II,20,1,0.20951849996345118,600
MOPSO,20,1,0.36300509999273345,630
OMF,100,2,0.6442887000157498,610
NSGA-II,100,2,0.6329694999731146,600
MOPSO,100,2,0.7089076000265777,630
OMF,80,2,0.4626787999877706,610
NSGA-II,80,2,0.5181161999935284,600
MOPSO,80,2,0.6524218000122346,630
OMF,60,2,0.39238059998024255,610
NSGA-II,60,2,0.4182579000480473,600
MOPSO,60,2,0.4118079000036232,630
OMF,40,2,0.2500980000477284,610
NSGA-II,40,2,0.2949339000042528,600
MOPSO,40,2,0.3630919000133872,630
OMF,20,2,0.17370479996316135,610
NSGA-II,20,2,0.20455359999323264,600
MOPSO,20,2,0.45376910001505166,630
OMF,100,3,0.6778294999967329,610
NSGA-II,100,3,0.6572728999890387,600
MOPSO,100,3,0.7624606000026688,630
OMF,80,3,0.5165568999946117,610
NSGA-II,80,3,0.5173172999639064,600
MOPSO,80,3,0.875261600012891,630
OMF,60,3,0.36026520002633333,610
NSGA-II,60,3,1.3754259000415914,600
MOPSO,60,3,1.6059564999886788,630
OMF,40,3,0.5769060000311583,610
NSGA-II,40,3,0.5776243999716826,600
MOPSO,40,3,0.6079745999886654,630
OMF,20,3,0.2588579999865033,610
NSGA-II,20,3,0.30915190000087023,600
MOPSO,20,3,0.4264225999941118,630
OMF,100,4,0.9283911000238732,610
NSGA-II,100,4,0.9156233000103384,600
MOPSO,100,4,0.9006707999506034,630
OMF,80,4,0.5867934999987483,610
NSGA-II,80,4,0.589395799965132,600
MOPSO,80,4,0.692847799975425,630
OMF,60,4,0.3924012000206858,610
NSGA-II,60,4,0.4282169999787584,600
MOPSO,60,4,0.9388272000360303,630
OMF,40,4,0.6359066999866627,610
NSGA-II,40,4,0.4592580999596976,600
MOPSO,40,4,0.439557799953036,630
OMF,20,4,0.18439429998397827,610
NSGA-II,20,4,0.21907689998624846,600
MOPSO,20,4,0.39748970000073314,630
OMF,100,5,0.6048573000007309,610
NSGA-II,100,5,0.6543145999894477,600
MOPSO,100,5,0.7439203999820165,630
OMF,80,5,0.49263420002534986,610
NSGA-II,80,5,0.5582950999960303,600
MOPSO,80,5,0.6204939999734052,630
OMF,60,5,0.3750995000009425,610
NSGA-II,60,5,0.3985924000153318,600
MOPSO,60,5,0.5693196000065655,630
OMF,40,5,0.2810988000128418,610
NSGA-II,40,5,0.30046500003663823,600
MOPSO,40,5,0.44035879999864846,630
OMF,20,5,0.1698585000121966,610
NSGA-II,20,5,0.2057556000072509,600
MOPSO,20,5,0.36453840002650395,630
OMF,100,6,0.6688271000166424,610
NSGA-II,100,6,0.7338747999747284,600
MOPSO,100,6,0.8311911000055261,630
OMF,80,6,0.5319114000303671,610
NSGA-II,80,6,0.5259739000466652,600
MOPSO,80,6,1.3707166999811307,630
OMF,60,6,0.3944232999929227,610
NSGA-II,60,6,0.4332558999885805,600
MOPSO,60,6,0.5228740000165999,630
OMF,40,6,0.25326899997889996,610
NSGA-II,40,6,0.34336480003548786,600
MOPSO,40,6,0.4024451999575831,630
OMF,20,6,0.1797361000208184,610
NSGA-II,20,6,0.2068151999847032,600
MOPSO,20,6,0.565124900022056,630
OMF,100,7,1.1168252999777906,610
NSGA-II,100,7,0.9075227999710478,600
MOPSO,100,7,0.9016067000338808,630
OMF,80,7,0.5710080999997444,610
NSGA-II,80,7,0.5554350999882445,600
MOPSO,80,7,0.657212599995546,630
OMF,60,7,0.39721809996990487,610
NSGA-II,60,7,0.438293999992311,600
MOPSO,60,7,0.8765882000443526,630
OMF,40,7,0.4441011999733746,610
NSGA-II,40,7,0.6053063000435941,600
MOPSO,40,7,0.6775670000351965,630
OMF,20,7,0.2444532999652438,610
NSGA-II,20,7,0.2899432000122033,600
MOPSO,20,7,0.44607609999366105,630
